"""region"",""typ av kostnad"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"""
"0381 Enköping,""lokalkostnader (inkl. hyra, städning)"",2184,1850,2567,2631,2654,2644,2745,2817,2890,2980,2865,2693,3044"
"0381 Enköping,""övriga kostnader"",2003,2554,2562,2565,2593,2780,2883,2630,2928,1634,1047,1439,2736"
"0381 Enköping,""investeringsutgifter"",..,532,594,605,605,807,392,3285,201,883,1060,990,.."
"0382 Östhammar,""mediekostnader"",807,701,979,982,1028,928,1139,1019,1067,1076,995,1053,1053"
"0382 Östhammar,""personalkostnader för biblioteksverksamheten"",2507,2468,2570,2633,2718,2785,2857,2954,3131,3241,3275,3339,3397"
"0382 Östhammar,""lokalkostnader (inkl. hyra, städning)"",1153,1164,1247,1314,1402,1386,1390,1348,1437,1446,1415,1429,1429"
"0382 Östhammar,""övriga kostnader"",352,674,921,620,530,517,371,614,122,485,957,741,172"
"0382 Östhammar,""investeringsutgifter"",..,100,167,0,0,0,142,0,56,695,193,150,.."
"0428 Vingåker,""mediekostnader"",405,361,401,392,303,367,413,389,387,435,422,395,435"
"0428 Vingåker,""personalkostnader för biblioteksverksamheten"",1604,1697,1833,1989,2140,2172,2270,1632,1716,1652,1715,1925,1946"
"0428 Vingåker,""lokalkostnader (inkl. hyra, städning)"",582,641,619,473,611,779,559,547,699,628,630,650,663"
"0428 Vingåker,""övriga kostnader"",339,314,184,280,105,97,395,325,223,201,227,265,278"
"0428 Vingåker,""investeringsutgifter"",17,28,0,43,40,71,29,91,33,124,35,61,77"
"0461 Gnesta,""mediekostnader"",300,300,300,300,300,300,300,350,316,305,350,511,429"
"0461 Gnesta,""personalkostnader för biblioteksverksamheten"",1686,1778,1850,1813,1699,1863,1817,1797,2135,1982,1933,1872,2071"
"0461 Gnesta,""lokalkostnader (inkl. hyra, städning)"",765,735,851,1137,874,101,102,99,102,970,829,772,849"
"0461 Gnesta,""övriga kostnader"",23,209,2,260,568,1360,1370,1651,172,179,202,1107,1001"
"0461 Gnesta,""investeringsutgifter"",86,68,58,0,0,0,0,0,20,12,..,..,20"
"0480 Nyköping,""mediekostnader"",2100,2346,1971,2173,2189,2037,3093,2315,2663,3391,3249,3459,3705"
"0480 Nyköping,""personalkostnader för biblioteksverksamheten"",7700,8583,9148,9467,9401,9563,9762,9475,10178,9924,10346,10398,10470"
"0480 Nyköping,""lokalkostnader (inkl. hyra, städning)"",6000,5553,5029,4879,5112,4217,4585,4180,3780,4002,4060,3806,3731"
"0480 Nyköping,""övriga kostnader"",2000,2737,3350,3155,3231,2691,1665,3029,2865,1069,2305,1818,1633"
"0480 Nyköping,""investeringsutgifter"",100,330,724,0,0,575,2887,685,501,513,517,3215,691"
"0481 Oxelösund,""mediekostnader"",714,598,695,582,664,560,582,564,480,587,622,536,550"
"0481 Oxelösund,""personalkostnader för biblioteksverksamheten"",2040,1920,2031,2280,2431,2289,2235,2806,2881,2944,3090,3120,3086"
"0481 Oxelösund,""lokalkostnader (inkl. hyra, städning)"",1273,1098,1025,1257,1125,1113,1909,1676,1555,1611,1451,1464,1488"
"0481 Oxelösund,""övriga kostnader"",692,750,974,517,964,710,1495,1054,706,781,679,925,837"
"0481 Oxelösund,""investeringsutgifter"",56,50,126,57,20,0,616,50,43,0,29,80,40"
"0482 Flen,""mediekostnader"",846,744,983,900,765,644,926,792,713,742,869,747,869"
"0482 Flen,""personalkostnader för biblioteksverksamheten"",2495,2565,2563,2783,3286,3189,2952,3084,3190,3288,3346,3283,3346"
"0482 Flen,""lokalkostnader (inkl. hyra, städning)"",2230,2291,2332,2302,2359,2030,2080,2100,2066,2166,2388,2415,2388"
"0482 Flen,""övriga kostnader"",206,348,221,218,321,100,125,325,351,601,134,323,134"
"0482 Flen,""investeringsutgifter"",..,..,35,333,70,0,39,329,..,0,..,64,.."
"0483 Katrineholm,""mediekostnader"",1705,1873,1885,1904,2002,1662,1912,1761,1554,1751,1969,1529,1242"
"0483 Katrineholm,""personalkostnader för biblioteksverksamheten"",6463,6536,7243,7359,8485,8428,9251,9307,7946,8175,8688,9255,8001"
"0483 Katrineholm,""lokalkostnader (inkl. hyra, städning)"",6292,6060,6290,6136,6182,5894,6084,431,6181,410,369,395,.."
"0483 Katrineholm,""övriga kostnader"",1628,1836,2936,1726,2230,2041,2160,2680,1393,3100,2840,1885,1936"
"0483 Katrineholm,""investeringsutgifter"",172,152,292,1029,799,1292,1435,1300,920,605,520,1245,436"
"0484 Eskilstuna,""mediekostnader"",4013,3955,4310,3938,4132,4124,4110,3914,3749,4037,3770,3573,3906"
"0484 Eskilstuna,""personalkostnader för biblioteksverksamheten"",17849,18586,20562,19701,20518,22987,24269,23677,21988,19257,19356,18827,20115"
"0484 Eskilstuna,""lokalkostnader (inkl. hyra, städning)"",5399,5402,5419,5383,5404,5184,5149,5158,5243,5384,6953,7247,7800"
"0484 Eskilstuna,""övriga kostnader"",3740,4335,4133,3952,3970,4059,8274,4239,3877,4232,3756,2413,3533"
"0484 Eskilstuna,""investeringsutgifter"",1011,194,222,123,370,468,93,411,2789,303,198,707,710"
"0486 Strängnäs,""mediekostnader"",738,738,915,1163,604,834,914,914,996,1181,1361,1389,1229"
"0486 Strängnäs,""personalkostnader för biblioteksverksamheten"",4535,4535,4715,4411,5156,4863,4915,5007,5675,5795,6051,6226,7050"
"0486 Strängnäs,""lokalkostnader (inkl. hyra, städning)"",1496,1496,1846,2171,2648,3621,2229,1915,2246,2336,2381,2381,2968"
"0486 Strängnäs,""övriga kostnader"",1425,1425,679,841,968,800,1754,1245,1117,0,..,..,.."
"0486 Strängnäs,""investeringsutgifter"",100,100,..,..,0,300,300,300,323,140,2100,560,500"
"0488 Trosa,""mediekostnader"",413,371,368,250,424,442,450,450,450,411,439,445,435"
"0488 Trosa,""personalkostnader för biblioteksverksamheten"",1697,1773,2015,1741,1898,2232,2442,2324,2581,2751,3000,3023,3197"
"0488 Trosa,""lokalkostnader (inkl. hyra, städning)"",508,439,496,430,654,735,546,565,539,818,813,874,888"
"0488 Trosa,""övriga kostnader"",393,518,529,843,361,129,471,408,367,245,433,611,.."
"0488 Trosa,""investeringsutgifter"",3122,..,0,..,60,75,56,62,60,54,..,..,.."
"0509 Ödeshög,""mediekostnader"",229,269,204,229,204,204,203,305,374,317,423,246,220"
"0509 Ödeshög,""personalkostnader för biblioteksverksamheten"",809,900,943,948,943,992,1027,1031,1043,1083,1056,1032,1043"
"0509 Ödeshög,""lokalkostnader (inkl. hyra, städning)"",1057,1049,1089,1074,1069,1096,1099,1102,1106,1170,1240,1386,1386"
"0509 Ödeshög,""övriga kostnader"",58,78,69,55,49,87,132,138,83,269,245,180,341"
"0509 Ödeshög,""investeringsutgifter"",93,..,0,..,0,..,0,0,15,7,7,29,7"
"0512 Ydre,""mediekostnader"",291,286,290,301,284,312,290,300,272,272,263,309,318"
"0512 Ydre,""personalkostnader för biblioteksverksamheten"",513,593,715,633,673,760,704,713,740,740,797,858,869"
"0512 Ydre,""lokalkostnader (inkl. hyra, städning)"",556,556,556,602,605,605,605,605,605,605,625,625,625"
"0512 Ydre,""övriga kostnader"",155,187,196,103,215,135,221,169,175,175,263,212,238"
"0512 Ydre,""investeringsutgifter"",91,21,25,18,21,20,23,15,10,10,10,17,17"
"0513 Kinda,""mediekostnader"",503,462,440,450,410,375,440,440,440,44,447,550,450"
"0513 Kinda,""personalkostnader för biblioteksverksamheten"",1565,1428,1481,1759,1650,1710,1710,1750,1830,1870,2077,2000,2000"
"0513 Kinda,""lokalkostnader (inkl. hyra, städning)"",1314,1381,1424,1447,1513,1500,1530,1600,1600,1650,1890,1980,1930"
